Reactant_pair	CAR	KEGG_reactions	RPAIR_main
C00002_C07024	1	R05668	TRUE
C00003_C00004	1	R00091,R00094,R00143,R00145,R00203,R00209,R00214,R00215,R00228,R00243,R00245,R00286,R00501,R00300,R00342,R00365,R00368,R00396,R00398,R00402,R00421,R00446,R00519,R00538,R00631,R00562,R00581,R00604,R00605,R00623,R00624,R00675,R00688,R00703,R00704,R00709,R00710,R00713,R00715,R00717,R00732,R00754,R00758,R00787,R00794,R00812,R00813,R00818,R00842,R00868,R00875,R00880,R00892,R00904,R00906,R00936,R00977,R00994,R01000,R01034,R01036,R01061,R01088,R01093,R01130,R01163,R01171,R01172,R01183,R01210,R01211,R01218,R01246,R01248,R01258,R01277,R01293,R01296,R01297,R01333,R01337,R01361,R01370,R01388,R01403,R01414,R01419,R01486,R01429,R01434,R01446,R01735,R01451,R01465,R01487,R01763,R01505,R01513,R01520,R01524,R01542,R01604,R01608,R01629,R01633,R01636,R01644,R01651,R01681,R01683,R01689,R01698,R01704,R01728,R01738,R01745,R01752,R01758,R01773,R01778,R01781,R01825,R01836,R01837,R01869,R01872,R01895,R01896,R01903,R01921,R01932,R01933,R01934,R01937,R01971,R01975,R02032,R02039,R02047,R02103,R02123,R02124,R02163,R02196,R02201,R02207,R02216,R02229,R02235,R02246,R02252,R02257,R02258,R02313,R02343,R02344,R02347,R02352,R02354,R02377,R02383,R02395,R02401,R02434,R02441,R02454,R02555,R02455,R02462,R02471,R02476,R02499,R02515,R02527,R02531,R02536,R02544,R02545,R02549,R02553,R02561,R02580,R02589,R02611,R02618,R02637,R02640,R02651,R02655,R02678,R02679,R02683,R02695,R02698,R02703,R02762,R02766,R02792,R02819,R02823,R02830,R02834,R02840,R02855,R02878,R02896,R02928,R02935,R02940,R02941,R02944,R02945,R02946,R02964,R02968,R02969,R02988,R02993,R02994,R03012,R03021,R03022,R03023,R03043,R03048,R03080,R03082,R03088,R03102,R03104,R03119,R03171,R03176,R03177,R03191,R03198,R03226,R03251,R03261,R03278,R03279,R03283,R03290,R03291,R03299,R03300,R03306,R03317,R03327,R03336,R03337,R03349,R03369,R03373,R03381,R03391,R03396,R03397,R03406,R03431,R03439,R03476,R03497,R03506,R03543,R03544,R03559,R03577,R03582,R03584,R03591,R03614,R03630,R03637,R03707,R03709,R03732,R03733,R03745,R03759,R03761,R03763,R03790,R03792,R03815,R03816,R03826,R03847,R03863,R03869,R03882,R03886,R03889,R03942,R03945,R03963,R03964,R04046,R04049,R04065,R04088,R04115,R04130,R04139,R04151,R04163,R04185,R04198,R04200,R04203,R04210,R04228,R04236,R04263,R04278,R04304,R04307,R04309,R04330,R04339,R04366,R04412,R04418,R04426,R04429,R04483,R04506,R04517,R04524,R04556,R04678,R04681,R04687,R04724,R04737,R04741,R04743,R04745,R04748,R04805,R04810,R04812,R04818,R04824,R04829,R04831,R04832,R04834,R04835,R04837,R04842,R04844,R04845,R04847,R04849,R04862,R04876,R04880,R04882,R04888,R04891,R04903,R04916,R04955,R04958,R04961,R04966,R04969,R04996,R05049,R05050,R05051,R05066,R05119,R05148,R05154,R05156,R05157,R05158,R05232,R05233,R05234,R05235,R05239,R05240,R05241,R05243,R05247,R05261,R05263,R05266,R05271,R05272,R05273,R05275,R05281,R05282,R05283,R05286,R05288,R05290,R05292,R05294,R05305,R05309,R05310,R05311,R05312,R05313,R05314,R05315,R05321,R05322,R05347,R05348,R05349,R05351,R05352,R05353,R05354,R05395,R05397,R05399,R05417,R05422,R05423,R05425,R05428,R05429,R05440,R05442,R05443,R05444,R05448,R05450,R05515,R05571,R05607,R05575,R05581,R05582,R05604,R05831,R05621,R05632,R05643,R05649,R05653,R05654,R05655,R05665,R05666,R05668,R05678,R05679,R05681,R05683,R05685,R05689,R05690,R05693,R05699,R05700,R05715,R05729,R05730,R05812,R05837,R05843,R06117,R06180,R06357,R06366,R06376,R06377,R06378,R06379,R06382,R06383,R06384,R06385,R06398,R06399,R06406,R06407,R06408,R06413,R06438,R06594,R06782,R06783,R06784,R06785,R06786,R06787,R06831,R06832,R06847,R06856,R06857,R06884,R06891,R06894,R06909,R06910,R06914,R06915,R06916,R06917,R06918,R06919,R06926,R06927,R06928,R06930,R06931,R06935,R06936,R06937,R06939,R06941,R06945,R06980,R06983,R07058,R07104,R07133,R07134,R07135,R07136,R07141,R07145,R07148,R07156,R07164,R07168,R07188,R07194,R07417,R07428,R07441,R07477,R07478,R07618,R07658,R07665,R07667,R07703,R07704,R07705,R07709,R07765,R07799,R07890,R07894,R07898,R07936,R07952,R07954,R07955,R07957,R07959,R07961,R07963,R07965,R07967,R07969,R07971,R07973,R07975,R07985,R08017,R08018,R08042,R08043,R08044,R08045,R08046,R08047,R08086,R08087,R08096,R08094,R08100,R08103,R08104,R08105,R08109,R08112,R08140,R08141,R08146,R08198,R08214,R08215,R08281,R08282,R08306,R08307,R08310,R08382,R08385,R08536,R08544,R08549,R08550,R08557,R08590,R08621,R08625,R08629,R08636,R08642,R08646,R08709,R08721,R08723,R08724,R08728,R08764,R08892,R08914,R08916,R08918,R08919,R09388,R08926,R08945,R09055,R09069,R09078,R09097,R09129,R09130,R09132,R09141,R09148,R09159,R09160,R09162,R09165,R09183,R09201,R09204,R09209,R09213,R09224,R09227,R09228,R09230,R09231,R09232,R09235,R09236,R09288,R09312,R09385,R09477,R09478,R09484,R09498,R09544,R09561,R09783,R09805,R09830,R09859,R09860,R09920,R09922,R09923,R09951,R09953,R09956,R09957,R09984,R09986,R09988,R10020,R10021,R10042,R10043,R10052,R10113,R10125,R10126,R10128,R10140,R10156,R10161,R10189,R10222,R10190,R10217,R10218,R10221,R10308,R10310,R10311,R10332,R10412,R10420,R10422,R10459,R10467,R10502,R10504,R10505,R10519,R10520,R10565,R10690,R10702,R10703,R10715,R10717,R10718,R10719,R10783,R10785,R10790,R10841,R10842,R10848,R10860,R10907,R10917,R10918,R10981,R10985,R11026,R11031,R11035,R11036,R11056,R11067,R11091,R11092,R11093,R11144,R11147,R11158,R11197,R11243,R11265,R11290,R11336,R11337,R11338,R11339,R11342,R11347,R11350,R11356,R11384,R11424,R11448,R11471,R11472,R11578,R11585,R11637,R11638,R11655,R11669,R11677,R11696,R11724,R11726,R11768,R11770,R11875,R11876,R11901,R00047,R00284,R00297,R00298,R00305,R00326,R00361,R00412,R02164,R00476,R00544,R00638,R00639,R00730,R00731,R00791,R00798,R00792,R03071,R00808,R00849,R00916,R01025,R01045,R01178,R01253,R01282,R01303,R01342,R01374,R01427,R01443,R02365,R01508,R01637,R01680,R01697,R01742,R01834,R01840,R01842,R01854,R01868,R01915,R02129,R02166,R02206,R02211,R02213,R02214,R02215,R02234,R02374,R02501,R02503,R02550,R02612,R02642,R02643,R02661,R02708,R02713,R02824,R02838,R03086,R03156,R03169,R03172,R03173,R03206,R03212,R03215,R03257,R03295,R03326,R03441,R03510,R03629,R03714,R03724,R03748,R03783,R03784,R03793,R03817,R03818,R03849,R03872,R04039,R04096,R04160,R04249,R04251,R04257,R04375,R04392,R04432,R04433,R04437,R04460,R04622,R04667,R04693,R04760,R04775,R04786,R04787,R04798,R04800,R04803,R04827,R04852,R04899,R04947,R05001,R05059,R05060,R05077,R05252,R05260,R05492,R05346,R05470,R05579,R05583,R05584,R05619,R05670,R05708,R05745,R05818,R05867,R05871,R05872,R05896,R05899,R06119,R06131,R06288,R06324,R06325,R06328,R06329,R06330,R06331,R06332,R06333,R06334,R06339,R06340,R06341,R06348,R06352,R06353,R06355,R06356,R06358,R06359,R06370,R06372,R06373,R06374,R06375,R06394,R06395,R06401,R06403,R06405,R06445,R06446,R06579,R06580,R06584,R06598,R06599,R06618,R06619,R06621,R06630,R06652,R06653,R06655,R06656,R06661,R06672,R06678,R06694,R06752,R06753,R06763,R06764,R06780,R06781,R06790,R06791,R06853,R06865,R06881,R06920,R06955,R06958,R06961,R06991,R06992,R06996,R06999,R07018,R07019,R07030,R07063,R07078,R07120,R07153,R07154,R07155,R10625,R07160,R07161,R07163,R07166,R09493,R07167,R07209,R07218,R07229,R07372,R07431,R07436,R07444,R07446,R07448,R07449,R07450,R07466,R07467,R07468,R07469,R07472,R07788,R07473,R07487,R07492,R07517,R07520,R07523,R07531,R07534,R07550,R07551,R07554,R07556,R07577,R07579,R07682,R07683,R07696,R07700,R07712,R07749,R07784,R07789,R07790,R07826,R07841,R07842,R07850,R07861,R07994,R08000,R08001,R08011,R08027,R08030,R08034,R08035,R08049,R08053,R08054,R08055,R08066,R08068,R08089,R08130,R08133,R08134,R08135,R08136,R08137,R08138,R08139,R08142,R08143,R08155,R08173,R08264,R08265,R08276,R08277,R08286,R08287,R08290,R08291,R08292,R08298,R08301,R08315,R08317,R08320,R08321,R08322,R08329,R08330,R08335,R08336,R08337,R08361,R08386,R08409,R08414,R08424,R08456,R08464,R08466,R08485,R08486,R08566,R08567,R08571,R08605,R08682,R08735,R08740,R08758,R08759,R08770,R08785,R08801,R08802,R08843,R08847,R08865,R08877,R08888,R08927,R08928,R08930,R08990,R08994,R09041,R09046,R09050,R09052,R09056,R09066,R09089,R09094,R09481,R09494,R09102,R09103,R09108,R09109,R09110,R09112,R09113,R09114,R09147,R09149,R09150,R09161,R09166,R09167,R09169,R09171,R09174,R09178,R09197,R09199,R09205,R09210,R09212,R09216,R09252,R09293,R09322,R09330,R09354,R09357,R09412,R09413,R09414,R09415,R09448,R09455,R09456,R09457,R09458,R09459,R09468,R09496,R09497,R09587,R09604,R09605,R09656,R09658,R09692,R09728,R09761,R09762,R09848,R09855,R09884,R10012,R10047,R10074,R10150,R10158,R10193,R10324,R10330,R10372,R10410,R10411,R10570,R10571,R10575,R10601,R10739,R10743,R10744,R10753,R10755,R10796,R10802,R10866,R10885,R10890,R10911,R10912,R10961,R11018,R11042,R11047,R11055,R11057,R11058,R11066,R11139,R11235,R11498,R11236,R11238,R11253,R11254,R11287,R11315,R11344,R11346,R11349,R11363,R11369,R11387,R11415,R11428,R11433,R11464,R11467,R11468,R11487,R11591,R11600,R11640,R11642,R11647,R11648,R11687,R11688,R11690,R11733,R11753,R11754,R11759,R11766,R11777,R11802,R11806,R11809,R11912,R11913	TRUE
C00005_C00006	1	R00114,R00134,R00146,R00205,R00216,R00243,R00248,R00250,R00279,R00256,R00257,R00258,R01148,R00264,R00267,R00343,R00355,R00372,R00448,R00452,R00457,R00465,R00468,R00563,R00575,R00578,R00625,R00634,R00666,R00667,R00676,R00684,R00694,R00706,R00711,R00714,R00716,R00733,R00734,R00740,R00744,R00746,R00796,R00814,R00815,R00828,R00834,R00835,R00844,R00845,R00870,R00871,R00895,R00896,R00908,R00919,R00939,R00978,R00980,R01039,R01041,R01058,R01063,R01072,R01090,R01095,R01096,R01134,R01155,R01161,R01173,R01212,R01214,R01220,R01224,R01249,R01251,R01278,R01294,R01295,R01298,R01299,R01338,R01339,R01371,R01392,R01404,R01415,R01420,R01430,R01431,R01759,R01452,R01453,R01456,R01481,R01488,R01521,R01525,R01528,R01543,R01550,R01579,R01580,R01582,R01584,R01607,R01615,R01628,R01630,R01648,R01684,R01708,R01730,R01739,R01740,R01747,R01775,R01779,R01787,R01813,R01817,R01835,R01838,R01866,R01899,R01904,R01938,R01939,R01941,R01956,R01960,R01976,R01977,R01986,R02016,R02034,R02077,R02177,R02178,R02193,R02199,R02203,R02208,R02209,R02210,R02219,R02220,R02231,R02236,R02247,R02253,R02254,R02259,R02260,R02274,R02283,R02291,R02315,R02339,R02349,R02353,R02355,R02356,R02413,R02433,R02442,R02449,R02456,R02463,R02469,R02472,R02477,R02497,R02498,R02506,R02517,R02528,R02537,R02548,R02554,R02562,R02577,R02581,R02593,R02600,R02609,R02610,R02619,R02639,R02680,R02684,R02799,R02697,R02700,R02736,R02755,R02756,R02767,R02776,R02777,R02793,R03495,R02800,R02820,R02832,R02836,R02841,R02856,R02872,R02892,R02893,R02936,R02954,R02975,R02978,R02989,R02995,R03006,R03044,R03051,R03053,R03054,R03063,R03089,R03090,R03103,R03114,R03120,R03123,R03124,R03155,R03183,R03192,R03207,R03227,R03234,R03243,R03248,R03264,R03266,R03281,R03292,R03293,R03302,R03313,R03325,R03338,R03339,R03344,R03357,R03388,R03398,R03399,R03401,R03407,R03408,R03440,R03443,R03452,R03458,R03498,R03520,R03545,R03556,R03557,R03560,R03562,R03566,R03568,R03572,R03581,R03583,R03585,R03586,R03592,R03608,R03636,R03638,R03639,R03667,R03712,R03713,R03716,R03753,R03764,R03776,R03821,R03827,R03833,R03834,R03845,R03848,R03850,R03856,R03864,R03866,R03879,R03883,R03900,R03918,R03930,R03952,R03962,R03989,R03997,R04028,R04029,R04051,R04099,R04105,R04106,R04136,R04171,R04173,R04186,R04188,R04201,R04217,R04234,R04256,R04264,R04265,R04269,R04279,R04285,R04310,R04338,R04340,R04342,R04344,R04360,R04370,R04387,R04390,R04400,R04419,R04430,R04439,R04440,R04453,R04463,R04467,R04475,R04518,R04523,R04533,R04536,R04543,R04552,R04557,R04558,R04566,R04623,R04682,R04688,R04690,R04695,R04696,R04697,R04699,R04702,R04708,R04725,R04753,R04758,R04789,R04790,R04817,R04819,R04823,R04825,R04830,R04833,R04836,R04838,R04840,R04843,R04846,R04883,R04889,R04892,R04901,R04902,R04910,R04917,R04919,R04953,R04956,R04959,R04962,R04964,R04967,R04970,R04984,R04987,R05038,R05052,R05068,R05085,R05099,R05124,R05150,R05231,R05249,R05250,R05262,R05264,R05270,R05289,R05291,R05293,R05350,R05396,R05441,R05463,R05471,R05507,R05521,R05522,R05526,R05576,R05622,R05623,R05639,R05641,R05663,R05664,R05680,R05682,R05684,R05686,R05687,R05691,R05692,R05694,R05701,R05711,R05732,R05823,R05827,R05828,R05832,R05839,R05855,R05866,R05877,R05878,R06126,R06146,R06166,R07138,R06265,R06272,R06286,R06291,R06294,R06296,R06308,R06309,R06351,R06386,R06387,R06388,R06389,R06400,R06417,R06419,R06420,R06434,R06436,R06464,R06472,R06473,R06474,R06475,R06537,R06538,R06541,R06542,R06543,R06560,R06561,R06562,R06563,R06569,R06570,R06571,R06572,R06573,R06582,R06606,R06607,R06610,R06622,R06629,R06634,R06642,R06677,R06682,R06683,R06688,R06690,R06691,R06734,R06846,R06851,R06890,R06892,R06896,R06977,R06985,R07000,R07001,R07015,R07016,R07020,R07021,R07022,R07041,R07046,R07048,R07050,R07051,R07052,R07054,R07055,R07056,R07060,R07066,R07068,R07075,R07079,R07080,R07081,R07085,R07087,R07089,R07098,R07137,R07140,R07142,R07143,R07144,R07147,R07149,R07165,R07191,R07201,R07202,R07203,R07206,R07204,R07205,R07275,R07276,R07277,R07346,R07369,R07370,R07371,R07373,R07396,R07418,R07421,R07422,R07429,R07437,R07440,R07442,R07447,R07456,R07470,R07474,R07483,R07494,R07495,R07666,R07676,R07710,R07711,R07715,R07737,R07739,R07745,R07746,R07747,R07751,R07759,R07761,R07763,R07776,R07777,R07778,R07786,R07787,R07791,R07792,R07998,R07999,R08002,R08016,R08019,R08032,R08059,R08083,R08084,R08085,R08148,R08194,R08203,R08205,R08226,R08266,R08267,R08270,R08271,R08274,R08275,R08283,R08285,R08294,R08303,R08304,R08312,R08313,R08325,R08326,R08327,R08356,R08379,R08380,R08383,R08390,R08391,R08392,R08448,R08492,R08561,R08563,R08494,R08562,R08510,R08558,R08573,R08705,R08710,R08711,R08727,R08775,R08784,R08815,R08851,R08853,R08861,R08878,R08879,R08880,R08897,R08903,R08915,R08917,R08922,R08925,R08935,R08943,R08954,R08955,R08957,R08958,R08959,R08960,R08963,R08980,R09042,R09070,R09079,R09080,R09122,R09131,R09133,R09195,R09198,R09262,R09263,R09264,R09280,R09281,R09289,R09329,R09376,R09389,R09393,R09390,R09404,R09405,R09406,R09407,R09408,R09416,R09418,R09420,R09421,R09423,R09424,R09425,R09441,R09442,R09451,R09452,R09453,R09454,R09460,R09461,R09485,R09546,R09547,R09549,R09554,R09555,R09557,R09576,R09583,R09584,R09602,R09738,R09756,R09777,R09778,R09806,R09812,R09815,R09818,R09820,R09838,R09861,R09862,R09864,R09866,R09867,R09868,R09926,R09927,R09928,R09929,R09932,R09933,R09934,R09935,R09954,R09985,R09987,R09989,R10023,R10025,R10044,R10045,R10075,R10077,R10094,R10105,R10114,R10116,R10118,R10120,R10122,R10130,R10154,R10155,R10181,R10194,R10225,R10227,R10226,R10228,R10229,R10242,R10258,R10260,R10309,R10313,R10315,R10317,R10318,R10321,R10350,R10351,R10357,R10359,R10362,R10366,R10373,R10399,R10400,R10417,R10418,R10421,R10423,R10477,R10478,R10528,R10540,R10549,R10563,R10573,R10591,R10593,R10615,R10626,R10656,R10662,R10665,R10725,R10728,R10730,R10786,R10789,R10794,R10795,R10799,R10801,R10826,R10828,R10845,R10851,R10852,R10875,R10877,R10878,R10879,R10919,R10921,R10923,R10925,R10931,R10932,R10982,R10991,R10999,R11000,R11019,R11032,R11051,R11054,R11134,R11145,R11146,R11195,R11198,R11211,R11212,R11222,R11266,R11269,R11270,R11276,R11277,R11285,R11297,R11298,R11299,R11341,R11358,R11360,R11385,R11395,R11405,R11426,R11427,R11446,R11447,R11474,R11500,R11515,R11607,R11656,R11657,R11658,R11668,R11678,R11751,R11763,R11764,R11765,R11774,R11776,R11877,R11927,R00047,R00297,R00298,R00305,R00326,R00361,R00412,R02164,R00476,R00544,R00638,R00639,R00730,R00731,R00791,R00798,R00792,R03071,R00808,R00849,R01025,R01045,R01178,R01253,R01260,R01282,R01303,R01342,R01374,R01427,R01443,R02365,R01508,R01637,R01680,R01697,R01742,R01833,R01834,R01840,R01842,R01854,R01868,R01915,R02129,R02188,R02206,R02211,R02212,R02213,R02214,R02215,R02234,R02374,R02501,R02503,R02550,R02612,R02642,R02643,R02661,R02708,R02713,R02838,R03086,R03156,R03169,R03172,R03173,R03206,R03212,R03215,R03257,R03295,R03326,R03441,R03510,R03629,R03714,R03724,R03748,R03783,R03784,R03793,R03818,R03849,R03872,R04096,R04160,R04249,R04251,R04257,R04392,R04432,R04437,R04460,R04622,R04667,R04693,R04760,R04786,R04787,R04827,R04852,R04899,R04947,R04980,R05001,R05059,R05060,R05077,R05252,R05260,R05492,R05470,R05579,R05583,R05584,R05619,R05670,R05708,R05818,R05867,R05871,R05872,R05896,R05899,R06119,R06131,R06288,R06293,R06297,R06324,R06325,R06328,R06329,R06330,R06331,R06332,R06333,R06334,R06339,R06340,R06341,R06348,R06352,R06353,R06355,R06356,R06358,R06359,R06370,R06372,R06373,R06374,R06375,R06394,R06395,R06401,R06403,R06405,R06445,R06446,R06462,R06463,R06579,R06580,R06584,R06598,R06599,R06618,R06619,R06630,R06652,R06653,R06655,R06656,R06661,R06672,R06678,R06694,R06752,R06753,R06763,R06764,R06780,R06781,R06790,R06791,R06865,R06881,R06920,R06955,R06958,R06961,R06991,R06992,R07018,R07030,R07078,R07120,R07153,R07154,R07155,R10625,R07163,R07166,R09493,R07167,R07209,R07218,R07372,R07430,R07431,R07436,R07444,R07445,R07446,R07448,R07449,R07450,R07452,R07453,R07454,R07466,R07467,R07468,R07469,R07471,R07472,R07788,R07473,R07487,R07492,R07517,R07520,R07523,R07531,R07534,R07550,R07551,R07554,R07556,R07577,R07579,R07696,R07700,R07712,R07749,R07784,R07789,R07790,R07826,R07841,R07842,R07850,R07994,R08000,R08001,R08011,R08035,R08049,R08053,R08054,R08055,R08066,R08068,R08089,R08130,R08133,R08134,R08135,R08136,R08137,R08138,R08139,R08142,R08143,R08155,R08173,R08276,R08277,R08286,R08287,R08290,R08291,R08292,R08298,R08301,R08315,R08317,R08320,R08321,R08322,R08329,R08330,R08335,R08336,R08344,R08361,R08414,R08424,R08442,R08456,R08464,R08466,R08485,R08486,R08571,R08604,R08605,R08682,R08735,R08740,R08758,R08759,R08768,R08770,R08785,R08801,R08802,R08838,R08840,R08841,R08843,R08847,R08865,R08877,R08888,R08927,R08928,R08990,R08994,R09041,R09050,R09052,R09056,R09066,R09089,R09094,R09481,R09494,R09102,R09103,R09104,R09108,R09109,R09110,R09112,R09113,R09114,R09147,R09149,R09150,R09166,R09167,R09169,R09171,R09174,R09178,R09197,R09199,R09205,R09210,R09212,R09216,R09252,R09293,R09322,R09330,R09354,R09357,R09412,R09413,R09414,R09415,R09448,R09455,R09456,R09457,R09458,R09459,R09468,R09496,R09497,R09587,R09604,R09605,R09656,R09658,R09692,R09728,R09761,R09762,R09848,R09855,R09884,R09982,R10047,R10074,R10158,R10193,R10324,R10330,R10372,R10410,R10411,R10570,R10571,R10575,R10601,R10739,R10743,R10744,R10753,R10755,R10796,R10802,R10885,R10890,R10911,R10912,R10961,R11018,R11042,R11047,R11055,R11066,R11114,R11139,R11235,R11498,R11236,R11238,R11253,R11254,R11287,R11315,R11344,R11349,R11363,R11369,R11387,R11415,R11428,R11433,R11464,R11467,R11468,R11591,R11600,R11640,R11642,R11647,R11648,R11687,R11688,R11690,R11733,R11753,R11754,R11759,R11766,R11777,R11802,R11806,R11809,R11912,R11913	TRUE
C00007_C00027	1	R00033,R00069,R00072,R00250,R00279,R00277,R00278,R00302,R00357,R00359,R00360,R00366,R00447,R00466,R00475,R00481,R00610,R00612,R00635,R00637,R00648,R00677,R00689,R00729,R00846,R00975,R01022,R01099,R01151,R01259,R01340,R01264,R01341,R01442,R01469,R01489,R01491,R01522,R01564,R01709,R01710,R01711,R01853,R01910,R01914,R02106,R02107,R02125,R02150,R02173,R02197,R02204,R02233,R02277,R02373,R02382,R02457,R02529,R02532,R02613,R02657,R02681,R02877,R02880,R02894,R02908,R02919,R02923,R03139,R03184,R03202,R03831,R03871,R03899,R04025,R04048,R04221,R04239,R04300,R04674,R04703,R04706,R04768,R04890,R04893,R04894,R04904,R05317,R05334,R05696,R05697,R05861,R05862,R05863,R06124,R06154,R06633,R06740,R06924,R06957,R07151,R07170,R07400,R07415,R07463,R07598,R07942,R07977,R07978,R07979,R08211,R08346,R08347,R08348,R08349,R08384,R08702,R08795,R08896,R08902,R09074,R09075,R09076,R09077,R09334,R09335,R09495,R09560,R09807,R10101,R10102,R10103,R10207,R10212,R10216,R10327,R10328,R10853,R10855,R10857,R11048,R11050,R11119,R11175,R11177,R11267,R11268,R11273,R11284,R11351,R11352,R11354,R11380,R11381,R11604,R11618,R00297,R00298,R00305,R00326,R00361,R00412,R02164,R00476,R00544,R00638,R00609,R00611,R00639,R00808,R00849,R01025,R01045,R01178,R01253,R01282,R01342,R01374,R01443,R02365,R01588,R01680,R01742,R01834,R01854,R01868,R01915,R02129,R02206,R02215,R02234,R02511,R02612,R02642,R02643,R02713,R03156,R03172,R03173,R03212,R03257,R03295,R03714,R03724,R03748,R03793,R03872,R04096,R04160,R04251,R04622,R04667,R04760,R04786,R04787,R04827,R05059,R05060,R05077,R05252,R05470,R05579,R05583,R05584,R05619,R05670,R05708,R05818,R06131,R06325,R06339,R06340,R06346,R06349,R06355,R06356,R06358,R06359,R06370,R06372,R06373,R06374,R06375,R06394,R06395,R06403,R06446,R06617,R06630,R06672,R06678,R06694,R06753,R06763,R06955,R06958,R06961,R07120,R07153,R07154,R07155,R10625,R07163,R07166,R09493,R07167,R07444,R07449,R07466,R07468,R07469,R07472,R07788,R07473,R07487,R07492,R07517,R07520,R07523,R07534,R07540,R07551,R07577,R07712,R07790,R07945,R08000,R08001,R08065,R08067,R08089,R08130,R08137,R08276,R08277,R08286,R08287,R08290,R08291,R08292,R08321,R08329,R08330,R08335,R08336,R08337,R08375,R08414,R08424,R08464,R08466,R08485,R08486,R08735,R08740,R08758,R08759,R08843,R08865,R08866,R08877,R08927,R08928,R08994,R09052,R09056,R09089,R09103,R09109,R09110,R09113,R09114,R09149,R09150,R09197,R09199,R09252,R09293,R09322,R09354,R09412,R09413,R09414,R09415,R09448,R09455,R09456,R09457,R09458,R09459,R09468,R09496,R09656,R09658,R09692,R09848,R09884,R10074,R10324,R10330,R10382,R10410,R10411,R10575,R10601,R10755,R10802,R10885,R10911,R10912,R10961,R11016,R11018,R11042,R11047,R11139,R11235,R11498,R11236,R11238,R11253,R11254,R11315,R11344,R11369,R11428,R11433,R11464,R11467,R11591,R11600,R11654,R11754,R11759,R11766,R11777,R11802,R11913	TRUE
C00011_C00058	1	R00134,R00519,R03215,R09094,R09481,R09494	TRUE
C00016_C01352	1	R01175,R01279,R03777,R03857,R03990,R04751,R04754,R06943,R07888,R07892,R07896,R07934,R07950,R08092,R11130,R00609,R00611,R01178,R01282,R01588,R01915,R02511,R05579,R05708,R08276,R08287,R10074,R11600	TRUE
C00018_C00627	1	R00278	TRUE
C00022_C00186	1	R00703,R00704,R00297,R11591	TRUE
C00025_C03618	1	R00262,R04269	TRUE
C00025_C05574	1	R10153	TRUE
