Reactant_pair,source,target
C00002_C07024,C00002,C07024
C00003_C00004,C00003,C00004
C00005_C00006,C00005,C00006
C00007_C00027,C00007,C00027
C00011_C00058,C00011,C00058
C00016_C01352,C00016,C01352
C00018_C00627,C00018,C00627
C00022_C00186,C00022,C00186
C00025_C03618,C00025,C03618
C00025_C05574,C00025,C05574
C00026_C01087,C00026,C01087
C00029_C12210,C00029,C12210
C00031_C00198,C00031,C00198
C00036_C00149,C00036,C00149
C00036_C03981,C00036,C03981
C00037_C15809,C00037,C15809
C00042_C00122,C00042,C00122
C00043_C20849,C00043,C20849
C00047_C01142,C00047,C01142
C00047_C05161,C00047,C05161
C00048_C00160,C00048,C00160
C00049_C05840,C00049,C05840
C00061_C01847,C00061,C01847
C00062_C21026,C00062,C21026
C00065_C11822,C00065,C11822
C00067_C00132,C00067,C00132
C00071_C00226,C00071,C00226
C00072_C03289,C00072,C03289
C00074_C02798,C00074,C02798
C00077_C03943,C00077,C03943
C00078_C06732,C00078,C06732
C00078_C21124,C00078,C21124
C00079_C20487,C00079,C20487
C00082_C04368,C00082,C04368
C00084_C00469,C00084,C00469
C00085_C00092,C00085,C00092
C00085_C00644,C00085,C00644
C00089_C05731,C00089,C05731
C00091_C00683,C00091,C00683
C00092_C00644,C00092,C00644
C00092_C00663,C00092,C00663
C00092_C01177,C00092,C01177
C00092_C01236,C00092,C01236
C00092_C20668,C00092,C20668
C00093_C00111,C00093,C00111
C00093_C00118,C00093,C00118
C00095_C00124,C00095,C00124
C00095_C00392,C00095,C00392
C00100_C00894,C00100,C00894
C00101_C00415,C00101,C00415
C00106_C00429,C00106,C00429
C00109_C05984,C00109,C05984
C00111_C00118,C00111,C00118
C00114_C00576,C00114,C00576
C00116_C00184,C00116,C00184
C00116_C00577,C00116,C00577
C00117_C00199,C00117,C00199
C00117_C00620,C00117,C00620
C00121_C00652,C00121,C00652
C00123_C02486,C00123,C02486
C00124_C00198,C00124,C00198
C00124_C00392,C00124,C00392
C00124_C02779,C00124,C02779
C00124_C03269,C00124,C03269
C00129_C00235,C00129,C00235
C00136_C00630,C00136,C00630
C00136_C00877,C00136,C00877
C00137_C00691,C00137,C00691
C00143_C00440,C00143,C00440
C00143_C00445,C00143,C00445
C00148_C03564,C00148,C03564
C00148_C03912,C00148,C03912
C00154_C05272,C00154,C05272
C00154_C20996,C00154,C20996
C00161_C02489,C00161,C02489
C00164_C01089,C00164,C01089
C00166_C02763,C00166,C02763
C00166_C05607,C00166,C05607
C00168_C00258,C00168,C00258
