,id,mol_weight,formula,P,O,I,H,Se,Mo,X,Mg,Br,As,F,R,N,C,Zn,S,Cl,Co,polymer
0,C00002,507.181,C10H16N5O13P3,3,13,0,16,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0
1,C00003,664.433,C21H28N7O14P2,2,14,0,28,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0
2,C00005,745.4209,C21H30N7O17P3,3,17,0,30,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0
3,C00007,31.9988,O2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C00011,44.0095,CO2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,C00016,785.5497,C27H33N9O15P2,2,15,0,33,0,0,0,0,0,0,0,0,9,27,0,0,0,0,0
6,C00018,247.1419,C8H10NO6P,1,6,0,10,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
7,C00022,88.0621,C3H4O3,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
8,C00025,147.1293,C5H9NO4,0,4,0,9,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
9,C00026,146.0981,C5H6O5,0,5,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
10,C00029,566.3018,C15H24N2O17P2,2,17,0,24,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0
11,C00031,180.1559,C6H12O6,0,6,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
12,C00036,132.0716,C4H4O5,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
13,C00037,75.0666,C2H5NO2,0,2,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
14,C00042,118.088,C4H6O4,0,4,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
15,C00043,607.3537,C17H27N3O17P2,2,17,0,27,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0
16,C00047,146.1876,C6H14N2O2,0,2,0,14,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
17,C00048,74.0355,C2H2O3,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
18,C00049,133.1027,C4H7NO4,0,4,0,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
19,C00061,456.3438,C17H21N4O9P,1,9,0,21,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0
20,C00062,174.201,C6H14N4O2,0,2,0,14,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0
21,C00065,105.0926,C3H7NO3,0,3,0,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
22,C00067,30.026,CH2O,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,C00071,,CHOR,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24,C00072,176.1241,C6H8O6,0,6,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
25,C00074,168.042,C3H5O6P,1,6,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
26,C00077,132.161,C5H12N2O2,0,2,0,12,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
27,C00078,204.2252,C11H12N2O2,0,2,0,12,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0
28,C00079,165.1891,C9H11NO2,0,2,0,11,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
29,C00082,181.1885,C9H11NO3,0,3,0,11,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
30,C00084,44.0526,C2H4O,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
31,C00085,260.1358,C6H13O9P,1,9,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
32,C00089,342.2965,C12H22O11,0,11,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
33,C00091,867.6069,C25H40N7O19P3S,3,19,0,40,0,0,0,0,0,0,0,0,7,25,0,1,0,0,0
34,C00092,260.1358,C6H13O9P,1,9,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
35,C00093,172.0737,C3H9O6P,1,6,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
36,C00095,180.1559,C6H12O6,0,6,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
37,C00100,823.5974,C24H40N7O17P3S,3,17,0,40,0,0,0,0,0,0,0,0,7,24,0,1,0,0,0
38,C00101,445.4292,C19H23N7O6,0,6,0,23,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0
39,C00106,112.0868,C4H4N2O2,0,2,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
40,C00109,102.0886,C4H6O3,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
41,C00111,170.0578,C3H7O6P,1,6,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
42,C00114,104.1708,C5H14NO,0,1,0,14,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
43,C00116,92.0938,C3H8O3,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
44,C00117,230.1098,C5H11O8P,1,8,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
45,C00121,150.1299,C5H10O5,0,5,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
46,C00123,131.1729,C6H13NO2,0,2,0,13,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
47,C00124,180.1559,C6H12O6,0,6,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
48,C00129,246.0921,C5H12O7P2,2,7,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
49,C00136,837.624,C25H42N7O17P3S,3,17,0,42,0,0,0,0,0,0,0,0,7,25,0,1,0,0,0
