,Node,Degree Centrality,PageRank,Betweenness Centrality,formula,mol_weight
0,C00001,0.16301833066381918,0.034408057612947844,0.47372245772636473,H2O,18.0153
1,C00007,0.12724684107492434,0.030907623832968557,0.2845504580812286,O2,31.9988
2,C00019,0.06406833956219968,0.016209087321228215,0.1346862693592671,C15H22N6O5S,398.4374
3,C00029,0.03381384588004983,0.00774406768883801,0.061145421761060054,C15H24N2O17P2,566.3018
4,C00002,0.040042712226374795,0.007642340713104333,0.07002882823341822,C10H16N5O13P3,507.181
5,C00011,0.03826303612742481,0.007359445941802753,0.07536651576567761,CO2,44.0095
6,C00014,0.03772913329773981,0.007141609380351438,0.03083878845026599,NH3,17.0305
7,C00009,0.034347748709734824,0.006343072071791317,0.04695619440793282,H3PO4,97.9952
8,C00024,0.028296849973304856,0.006223001574924904,0.03595897283713641,C23H38N7O17P3S,809.5708
9,C00010,0.021178145577504894,0.004576957104670279,0.021382826279727672,C21H36N7O16P3S,767.5341
10,C00025,0.022779854066559885,0.00436376954412118,0.027700897221796972,C5H9NO4,147.1293
11,C00013,0.020466275137924896,0.004078956589936753,0.02976917901035257,H4P2O7,177.9751
12,C00022,0.018152696209289908,0.003374458125958807,0.01758689669471121,C3H4O3,88.0621
13,C00026,0.01601708489054992,0.002976126580304631,0.013551037784013615,C5H6O5,146.0981
14,C00033,0.014771311621284925,0.0029586308908425853,0.025957639466425358,C2H4O2,60.052
15,C00043,0.011033991813489944,0.002644297903938839,0.019146340523332417,C17H27N3O17P2,607.3537
16,C00053,0.009788218544224951,0.0026280617752174815,0.017752583400431003,C10H15N5O13P2S,507.2643
17,C00124,0.01192382986296494,0.002397667115350521,0.009520727121777442,C6H12O6,180.1559
18,C00008,0.011745862253069941,0.0020500615216975195,0.008839912031208479,C10H15N5O10P2,427.2011
19,C00020,0.010856024203594945,0.0019456629709388128,0.007979894923087169,C10H14N5O7P,347.2212
20,C00363,0.007296672005694963,0.0016922197680437736,0.0170584378148328,C10H16N2O11P2,402.1884
21,C00037,0.00800854244527496,0.0015387204818082814,0.007265938338172704,C2H5NO2,75.0666
22,C00041,0.008542445274959957,0.0015293507129114311,0.0058695421675257755,C3H7NO2,89.0932
23,C00058,0.006762769176009965,0.0014998333287208085,0.00968200896708294,CH2O2,46.0254
24,C00167,0.006228866346324968,0.001492166581254547,0.010378097904489398,C15H22N2O18P2,580.2853
25,C00083,0.006940736785904965,0.0014707713147729168,0.01058070035478992,C24H38N7O19P3S,853.5803
26,C00060,0.007652607225484961,0.001468237026902339,0.010107985080068783,CO2R,999.0
27,C00698,0.0058729311265349705,0.001441956778353265,0.00495165653280532,Cl,35.453
28,C00096,0.006762769176009965,0.0014161130566957133,0.007715458959341086,C16H25N5O16P2,605.3411
29,C00073,0.006584801566114967,0.0013600286988135228,0.00703386800961348,C5H11NO2S,149.2113
30,C00145,0.00605089873642997,0.0013400683041715617,0.003962662027273332,HSR,999.0
31,C00051,0.005694963516639971,0.00129965836888245,0.007035226352544277,C10H17N3O6S,307.3235
32,C00040,0.006406833956219968,0.0011998479074275732,0.004887817639876899,C22H35N7O17P3SR,999.0
33,C00045,0.005694963516639971,0.0011073699064636164,0.004712708511819659,C2H4NO2R,999.0
34,C00047,0.005516995906744972,0.001080722942230482,0.004050450525157682,C6H14N2O2,146.1876
35,C00049,0.005694963516639971,0.000999559276696036,0.0025226994665288665,C4H7NO4,133.1027
36,C00048,0.0053390282968499726,0.0009906975483260701,0.0033009492418926627,C2H2O3,74.0355
37,C00082,0.005161060686954974,0.0009724447629929612,0.008082156663217212,C9H11NO3,181.1885
38,C00055,0.005516995906744972,0.0009579111204087506,0.004814579237505225,C9H14N3O8P,323.1965
39,C00063,0.004983093077059975,0.000938119882027782,0.004797746905236911,C9H16N3O14P3,483.1563
40,C00132,0.004093255027584979,0.0009358127836332402,0.003996739073376379,CH4O,32.0419
41,C00067,0.004627157857269977,0.0009237523249918693,0.006240677849372285,CH2O,30.026
42,C00042,0.0048051254671649755,0.0008786137900033608,0.003485438350422134,C4H6O4,118.088
43,C00663,0.004627157857269977,0.0008579775274060132,0.00320005843058525,C6H13O9P,260.1358
44,C00161,0.004449190247374978,0.0008483280800259858,0.0023475087367553623,C2HO3R,999.0
45,C00223,0.00391528741768998,0.0008408281677933628,0.0052657676103683975,C30H42N7O18P3S,913.6769
46,C00091,0.004449190247374978,0.0008254280211152339,0.0016104838637629162,C25H40N7O19P3S,867.6069
47,C00078,0.004449190247374978,0.0008196483504183136,0.0021495303762751787,C11H12N2O2,204.2252
48,C11921,0.003203416978109984,0.0008188975266257574,0.003533002756963621,C17H28N2O14P2,546.3567
49,C00044,0.004093255027584979,0.0008187423468766484,0.0046963947313861665,C10H16N5O14P3,523.1804
50,C00099,0.004093255027584979,0.0007950541951270446,0.0025058875708236198,C3H7NO2,89.0932
51,C00128,0.0037373198077949813,0.00078528920150883,0.0028266714379295995,C20H31N4O16P,614.4511
52,C00065,0.004271222637479978,0.0007830018716256642,0.0032320665105015772,C3H7NO3,105.0926
53,C00323,0.0037373198077949813,0.0007724690515621406,0.00431704273428689,C30H42N7O19P3S,929.6763
54,C00036,0.004271222637479978,0.0007521908121215248,0.000928660098172331,C4H4O5,132.0716
55,C00448,0.0028474817583199856,0.0007495037920751833,0.0023189773629297933,C15H28O7P2,382.3261
56,C00341,0.003025449368214985,0.0007484096520915418,0.0037034004724810447,C10H20O7P2,314.2091
57,C00062,0.00391528741768998,0.0007473007113459002,0.001547458149935252,C6H14N4O2,174.201
58,C00525,0.004093255027584979,0.0007404180213944735,0.0014952627917464204,C11H12N2O2,204.2252
59,C00235,0.0028474817583199856,0.0007391072907768827,0.0031899793642967476,C5H12O7P2,246.0921
60,C00092,0.004093255027584979,0.0007288012822131396,0.0016017048395729641,C6H13O9P,260.1358
61,C00156,0.0037373198077949813,0.0007204652639616696,0.0024732424021516697,C7H6O3,138.1207
62,C00086,0.003559352197899982,0.0007151942928738319,0.002386862487388693,CH4N2O,60.0553
63,C00015,0.003559352197899982,0.000711042739721734,0.00840869446745778,C9H14N2O12P2,404.1612
64,C02199,0.0028474817583199856,0.0007107717793016911,0.0025685341559543748,C15H24N2O16P2,550.3024
65,C00190,0.003203416978109984,0.0007104658043634942,0.0035191207760436488,C14H22N2O16P2,536.2758
66,C00119,0.00391528741768998,0.0007066797311079383,0.0013794099736240322,C5H13O14P3,390.0696
67,C00093,0.0037373198077949813,0.0006795147955294826,0.0026954613191065143,C3H9O6P,172.0737
68,C00105,0.00391528741768998,0.000672401313126693,0.002579572991128486,C9H13N2O9P,324.1813
69,C01209,0.003203416978109984,0.0006690985855371174,0.0022063590011402474,C3H3O3SR,999.0
70,C00079,0.003559352197899982,0.0006655291911453727,0.0013516573216828252,C9H11NO2,165.1891
71,C00111,0.0037373198077949813,0.0006628272513894955,0.0013680572518906732,C3H7O6P,170.0578
72,C00645,0.0033813845880049827,0.0006516287315706728,0.0024354367666463454,C8H15NO6,221.2078
73,C00059,0.0028474817583199856,0.0006361255188682155,0.001558533239161527,H2SO4,98.0785
74,C00318,0.0026695141484249863,0.0006218531032389121,0.002514305070845349,C7H15NO3,161.1989
75,C00064,0.003203416978109984,0.0006204142219431948,0.001650392934813555,C5H10N2O3,146.1445
76,C00165,0.003203416978109984,0.0006073600516385532,0.0035043071582076995,C5H6O5R2,999.0
77,C00180,0.003025449368214985,0.0006022087962073922,0.002241043022695179,C7H6O2,122.1213
78,C00108,0.003025449368214985,0.0005989652208224577,0.0038041654010482237,C7H7NO2,137.136
79,C00100,0.003025449368214985,0.0005982367223996445,0.0010070205859559536,C24H40N7O17P3S,823.5974
80,C00154,0.0024915465385299874,0.00059200949153719,0.0010778293550031185,C37H66N7O17P3S,1005.9429
81,C00406,0.0028474817583199856,0.000590878831694995,0.0035007662005531693,C31H44N7O19P3S,943.7028
82,C00350,0.003025449368214985,0.0005896570385147029,0.0019834215829647125,C7H12NO8PR2,999.0
83,C06472,0.0024915465385299874,0.0005838491718675267,0.002512476965179101,C6H10O7,194.1394
84,C00121,0.0028474817583199856,0.0005765163705802167,0.002542184538574131,C5H10O5,150.1299
85,C00199,0.003203416978109984,0.0005634185832204487,0.0015760642471181682,C5H11O8P,230.1098
86,C00109,0.003025449368214985,0.0005622685575392783,0.0015703145939263013,C4H6O3,102.0886
87,C00353,0.0023135789286349885,0.0005587941071464547,0.0014712891491836238,C20H36O7P2,450.4432
88,C00166,0.0028474817583199856,0.0005418028952217894,0.0010785059197950088,C9H8O3,164.158
89,C00230,0.0026695141484249863,0.0005389946321933338,0.00023772876942749108,C7H6O4,154.1201
90,C00077,0.0028474817583199856,0.0005383352132341426,0.000566762660731651,C5H12N2O2,132.161
91,C00134,0.0028474817583199856,0.0005372252243129917,0.0007606758401585537,C4H12N2,88.1515
92,C00075,0.003025449368214985,0.0005366149614344819,0.003359031316504325,C9H15N2O15P3,484.1411
93,C00157,0.0028474817583199856,0.0005325204901952519,0.0022771831184317656,C10H18NO8PR2,999.0
94,C00122,0.0028474817583199856,0.0005321364508535118,0.001288052453692363,C4H4O4,116.0722
95,C01177,0.0026695141484249863,0.0005288657342558587,0.0017233867476436177,C6H13O9P,260.1358
96,C00512,0.0023135789286349885,0.0005224189387840936,0.001105120816159712,C28H40N7O17P3S,871.6402
97,C00169,0.0026695141484249863,0.0005207542070738286,0.0014280405124899485,CH4NO5P,141.0199
98,C00097,0.0026695141484249863,0.0005206741963331494,0.0018390988978991922,C3H7NO2S,121.1582
99,C11920,0.00195764370884499,0.0005118152337637426,0.0020091206735373154,C16H26N2O14P2,532.3302
100,C00074,0.003025449368214985,0.000509591912407837,0.0003888573766616679,C3H5O6P,168.042
101,C00129,0.0024915465385299874,0.0005091587774391041,0.0006140874088927569,C5H12O7P2,246.0921
102,C00146,0.0024915465385299874,0.0005077262008613818,0.00150713633518605,C6H6O,94.1112
103,C00218,0.0024915465385299874,0.000507128088274534,0.0004799209505900494,CH5N,31.0571
104,C08604,0.002135611318739989,0.0005014022904672644,0.0009842926091654567,C21H21O11,449.3848
105,C00130,0.0028474817583199856,0.0004884371857333122,0.00034726454137085544,C10H13N4O8P,348.206
106,C00423,0.0023135789286349885,0.0004835211627076055,0.0014045966888301823,C9H8O2,148.1586
107,C01785,0.0023135789286349885,0.0004834772807653247,0.0004883789530324637,C6H6O2,110.1106
108,C00116,0.0024915465385299874,0.0004820117663189519,0.001702852335860881,C3H8O3,92.0938
109,C00389,0.002135611318739989,0.0004818023963107477,0.0032927350402034753,C15H10O7,302.2357
110,C00187,0.00195764370884499,0.00048044168640281975,0.0015301776109797073,C27H46O,386.6535
111,C00085,0.0028474817583199856,0.0004803142009835116,0.0005770103683765291,C6H13O9P,260.1358
112,C00315,0.0023135789286349885,0.000474074547464425,0.0007081042963369554,C7H19N3,145.2459
113,C03758,0.002135611318739989,0.00046899242849948107,0.001703873367821775,C8H11NO2,153.1784
114,C00135,0.002135611318739989,0.000467629757556033,0.0020538490565837715,C6H9N3O2,155.1546
115,C00144,0.0024915465385299874,0.00046467268854014754,0.001799840146249041,C10H14N5O8P,363.2206
116,C00117,0.0026695141484249863,0.00046119581105684486,0.0007900799777779383,C5H11O8P,230.1098
117,C00331,0.0023135789286349885,0.00045773894878453045,0.0011334179388493041,C11H9NO3,203.1941
118,C00245,0.0023135789286349885,0.0004568211316978543,0.0009557367571762379,C2H7NO3S,125.1469
119,C00257,0.002135611318739989,0.00045492241811901626,0.0017330923448145182,C6H12O7,196.1553
120,C00118,0.0026695141484249863,0.00045381611349595814,0.0005418493879059195,C3H7O6P,170.0578
121,C01179,0.0023135789286349885,0.0004501673731074103,0.0007977823897558835,C9H8O4,180.1574
122,C00219,0.00195764370884499,0.000449363057018262,0.000967020933354342,C20H32O2,304.4669
123,C12138,0.001779676098949991,0.000448480049896292,0.0012443455670543549,C21H21O12,465.3842
124,C00695,0.001779676098949991,0.00044812614985208384,0.002114919501445567,C24H40O5,408.5714
125,C00195,0.002135611318739989,0.0004477181583262031,0.00243308599550487,C19H36NO3R,999.0
126,C00805,0.0023135789286349885,0.0004420288247279883,0.0007056308302217186,C7H6O3,138.1207
127,C00164,0.002135611318739989,0.00043973734686248816,0.0011332975588026508,C4H6O3,102.0886
128,C00811,0.002135611318739989,0.0004392215280948248,0.001631920559326666,C9H8O3,164.158
129,C00089,0.002135611318739989,0.00043742736614761456,0.0009651238079063147,C12H22O11,342.2965
130,C00280,0.001601708489054992,0.00043343084961085314,0.0005374296681307947,C19H26O2,286.4085
